annot_transcript_id	k562_1_chr20	k562_2_chr20
TALONT000011233	3	4
TALONT000011274	0	1
TALONT000011342	0	0
TALONT000011348	1	4
TALONT000011390	0	0
TALONT000011499	0	0
TALONT000011622	8	1
TALONT000011626	1	0
TALONT000011678	1	1
TALONT000011755	0	0
TALONT000012076	5	1
TALONT000012079	3	0
TALONT000012080	35	35
TALONT000012081	4	1
TALONT000012286	1	3
TALONT000012301	0	0
TALONT000012377	15	6
TALONT000012534	24	12
TALONT000012683	9	3
TALONT000012697	6	5
TALONT000012700	7	3
TALONT000012708	11	10
TALONT000012772	18	12
TALONT000012815	7	5
TALONT000012855	1	1
TALONT000012864	5	2
TALONT000013125	2	0
TALONT000013129	3	1
TALONT000013144	5	1
TALONT000013147	10	5
TALONT000013148	4	1
TALONT000013345	15	6
TALONT000013396	9	8
TALONT000013454	23	19
TALONT000013455	8	3
TALONT000013456	3	1
TALONT000013499	13	6
TALONT000013557	32	5
TALONT000013597	460	111
TALONT000013598	8	4
TALONT000013655	0	0
TALONT000013657	0	0
TALONT000013708	3	4
TALONT000013745	0	0
TALONT000013828	0	0
TALONT000013888	4	4
TALONT000013916	6	4
TALONT000013998	27	16
TALONT000014082	0	1
TALONT000014094	0	2
TALONT000014147	5	3
TALONT000014159	3	4
TALONT000014162	7	8
TALONT000014163	8	2
TALONT000014165	3	5
TALONT000014251	31	11
TALONT000014303	0	0
TALONT000014317	12	9
TALONT000014329	0	0
TALONT000014372	3	1
