annot_transcript_id	k562_1_chr20	k562_2_chr20
ENST00000462997.5	2	0
ENST00000337227.8	0	0
ENST00000415286.1	10	4
ENST00000377475.8	15	7
ENST00000336714.8	19	21
ENST00000643747.1	0	0
ENST00000377465.6	1	0
ENST00000435844.3	42	14
ENST00000411646.1	13	8
ENST00000377452.3	15	14
ENST00000494921.2	0	1
ENST00000609087.1	0	0
ENST00000648165.1	0	0
ENST00000424633.1	0	0
ENST00000334982.8	89	52
ENST00000484480.5	0	0
ENST00000310450.8	1	1
ENST00000463154.5	0	0
ENST00000480550.1	0	0
ENST00000398602.2	0	0
ENST00000481837.1	0	0
ENST00000536226.1	14	7
ENST00000620891.4	0	0
ENST00000619189.4	4	4
ENST00000362639.1	0	1
ENST00000457423.1	11	2
ENST00000622628.1	0	0
ENST00000377191.4	5	9
ENST00000484902.1	35	9
ENST00000564492.1	0	0
ENST00000419308.6	0	0
ENST00000377115.4	0	0
ENST00000254998.2	74	33
ENST00000452395.1	0	0
ENST00000338121.9	4	2
ENST00000377051.2	0	0
ENST00000377026.4	1	0
ENST00000468128.5	0	0
ENST00000398411.5	0	0
ENST00000376925.7	56	36
ENST00000602977.1	0	0
ENST00000304749.6	0	0
ENST00000451442.5	0	0
ENST00000217456.2	17	22
ENST00000323482.8	0	0
ENST00000376726.3	0	0
ENST00000354989.9	2	0
ENST00000360031.6	0	0
ENST00000376652.8	2	0
ENST00000433259.6	1	0
ENST00000485936.5	0	0
ENST00000463734.1	0	0
ENST00000490187.1	0	0
ENST00000216962.8	1	6
ENST00000471359.1	1	0
ENST00000610840.1	0	0
ENST00000376542.7	1	2
ENST00000339157.9	23	33
ENST00000414143.1	0	0
ENST00000262460.4	1	4
ENST00000278886.10	0	0
ENST00000304788.3	5	3
ENST00000252979.5	2	0
ENST00000376445.3	0	0
ENST00000358464.9	0	0
ENST00000376309.3	0	0
ENST00000398174.8	0	1
ENST00000335574.9	5	3
ENST00000340852.9	96	46
ENST00000466766.2	0	1
ENST00000498035.5	1	1
ENST00000483310.5	0	0
ENST00000493364.1	0	0
ENST00000376112.3	268	93
ENST00000376105.4	7	5
ENST00000376062.6	11	3
ENST00000376055.8	2	0
ENST00000307677.4	10	11
ENST00000450273.1	3	0
ENST00000300403.10	41	13
ENST00000340513.4	0	0
ENST00000428124.1	0	0
ENST00000375966.8	0	0
ENST00000202017.5	71	23
ENST00000398022.6	8	6
ENST00000217315.9	0	0
ENST00000495749.1	0	0
ENST00000479591.1	0	0
ENST00000611964.1	0	0
ENST00000565928.1	0	0
ENST00000246229.4	4	4
ENST00000375749.7	24	12
ENST00000375730.3	0	0
ENST00000486717.5	3	1
ENST00000408740.1	0	0
ENST00000375712.3	0	0
ENST00000359676.9	0	0
ENST00000621426.6	0	0
ENST00000326071.8	0	0
ENST00000278980.10	45	33
ENST00000446419.6	1	3
ENST00000375571.5	169	77
ENST00000569087.2	4	5
ENST00000170150.3	0	0
ENST00000253354.1	0	0
ENST00000482967.5	0	0
ENST00000473997.5	0	0
ENST00000346416.6	68	63
ENST00000357886.8	0	0
ENST00000339269.5	2	1
ENST00000217381.2	1	4
ENST00000342704.10	0	1
ENST00000246190.10	3	4
ENST00000375238.8	6	7
ENST00000330271.4	0	0
ENST00000343380.5	4	3
ENST00000409299.7	9	8
ENST00000344022.7	4	1
ENST00000342427.6	0	0
ENST00000375200.5	0	1
ENST00000217402.2	0	0
ENST00000618285.2	0	0
ENST00000375114.7	21	7
ENST00000246194.7	87	61
ENST00000374980.2	143	22
ENST00000217426.6	439	172
ENST00000374864.8	8	2
ENST00000262650.10	0	0
ENST00000357156.6	59	24
ENST00000480759.1	0	0
ENST00000300469.13	2	0
ENST00000383855.1	0	0
ENST00000360668.7	0	1
ENST00000397709.1	0	0
ENST00000217446.7	31	11
ENST00000374820.6	0	1
ENST00000336431.9	0	0
ENST00000481284.5	0	0
ENST00000360596.6	16	11
ENST00000476922.5	0	0
ENST00000494727.1	0	0
ENST00000216951.7	98	84
ENST00000642498.1	3	0
ENST00000643188.1	0	0
ENST00000451957.2	0	0
ENST00000451813.6	13	3
ENST00000252015.2	24	6
ENST00000374492.7	7	2
ENST00000374491.3	0	0
ENST00000216968.4	1	1
ENST00000424358.1	2	1
ENST00000624581.1	0	1
ENST00000440766.5	2	0
ENST00000374436.7	49	23
