8,10
9,13
10,14
11,16
12,19
12,18
13,28
13,29
14,37
14,34
14,42
14,41
14,35
14,40
14,39
14,33
15,48
17,52
17,51
17,57
17,56
17,76
17,69
17,90
17,96
17,97
19,100
22,103
23,109
24,115
23,113
27,123
27,122
27,125
35,147
38,157
38,155
40,160
40,163
40,161
40,162
40,159
40,166
42,175
42,172
60,236
60,238
69,255
69,256
71,260
73,270
73,283
73,285
73,279
73,288
73,289
80,301
80,299
80,300
88,329
88,327
89,333
89,334
90,343
90,342
90,344
92,353
97,359
97,360
98,362
99,363
100,368
100,367
101,373
101,378
101,374
101,376
101,377
101,380
102,386
102,383
109,402
115,421
115,419
115,420
117,425
118,427
118,429
118,430
121,441
121,437
121,439
122,443
122,442
123,444
124,445
124,447
124,449
124,452
128,463
128,461
128,460
129,464
132,468
132,469
132,470
132,474
139,486
139,488
139,489
145,499
152,519
152,516
152,514
152,517
152,518
155,523
155,524
156,525
157,526
157,531
164,545
169,551
171,559
171,560
173,564
175,570
175,571
182,583
182,584
185,593
187,597
203,613
219,689
218,684
218,683
227,705
230,709
232,712
250,744
258,768
264,778
267,787
267,793
267,789
267,788
274,834
287,851
294,864
294,865
294,866
306,888
306,889
309,893
309,896
309,900
309,903
313,916
313,912
313,914
313,913
313,919
313,926
313,929
313,927
316,940
316,936
322,946
323,947
323,950
327,965
327,960
335,991
338,999
339,1002
340,1003
340,1004
340,1012
341,1015
341,1016
343,1019
343,1021
360,1061
361,1062
361,1064
361,1067
361,1066
361,1065
362,1073
380,1127
380,1122
384,1142
386,1144
387,1145
402,1168
410,1184
412,1188
412,1187
432,1214
433,1217
434,1218
435,1226
450,1253
450,1254
455,1260
474,1284
474,1283
476,1289
476,1290
482,1307
482,1305
482,1306
482,1319
482,1321
482,1322
487,1327
489,1331
490,1333
490,1334
491,1341
492,1342
493,1346
495,1354
499,1364
501,1368
518,1435
560,1484
564,1491
564,1489
564,1490
564,1494
564,1493
564,1516
571,1524
571,1525
574,1531
574,1529
574,1532
574,1530
577,1540
581,1552
584,1571
592,1590
592,1593
593,1597
592,1596
596,1601
597,1602
597,1604
598,1607
602,1636
602,1640
611,1660
611,1662
613,1670
615,1672
618,1681
630,1707
633,1716
633,1714
634,1728
635,1730
637,1742
637,1741
641,1766
647,1780
651,1790
651,1788
654,1800
660,1807
663,1815
663,1819
671,1829
671,1830
671,1831
672,1833
674,1838
674,1839
679,1859
680,1867
680,1870
680,1879
680,1886
681,1900
681,1888
681,1892
685,1927
685,1926
687,1929
687,1930
689,1932
697,1954
697,1957
697,1956
697,1955
697,1953
700,1970
700,1976
